ID,Servicing,FcstPeriod,StationName,newNormal,new75PctNormal
MAGI1,PIH,APR-SEP,BIG WOOD - MAGIC DAM,317,237.75
MCDQ2,CAN,APR-SEP,COLUMBIA - MICA DAM,12104,9078
MCDW1,PDT,APR-SEP,COLUMBIA - MCNARY DAM,94621,70965.75
MCKO3,PDT,APR-SEP,MCKAY CREEK - NEAR PENDLETON,36.32,27.24
MCLO3,MFR,APR-SEP,ROGUE - NEAR MCLEOD,700,525
MCMO3,PQR,APR-SEP,S YAMHILL - AT MCMINNVILLE,192,144
MCMW1,SEW,APR-SEP,MINERAL CREEK - NEAR MINERAL,70.14,52.605
MCZO3,PQR,APR-SEP,MCKENZIE - NEAR WALTERVILLE,1397,1047.75
MEHO3,PQR,APR-SEP,NORTH SANTIAM - AT MEHAMA,840,630
MEWW1,PQR,APR-SEP,LEWIS - MERWIN DAM,1142,856.5
MFDO3,MFR,APR-SEP,BEAR CREEK - AT MEDFORD,34.07,25.5525
MFNW1,SEW,APR-SEP,MF NOOKSACK - NEAR DEMING,187,140.25
MFPI1,BOI,APR-SEP,MF PAYETTE - NEAR CROUCH,228,171
MIDI1,BOI,APR-SEP,MF SALMON - MIDDLE FORK LODGE,905,678.75
MILI1,BOI,APR-SEP,SNAKE - AT MILNER,6236,4677
MKNW1,SEW,APR-SEP,NISQUALLY - AT MCKENNA,440,330
MLBO3,MFR,APR-SEP,BIG BUTTE CREEK - NEAR MCLEOD,57.92,43.44
MLKW1,PDT,APR-SEP,MILL CREEK - NR WALLA WALLA,28.86,21.645
MMRW1,SEW,APR-SEP,WHITE - AT MUD MOUNTAIN DAM,549,411.75
MNRO3,PQR,APR-SEP,LONG TOM - AT MONROE,93.14,69.855
MNSW1,SEW,APR-SEP,WYNOOCHEE - NEAR MONTESANO,220,165
MONO3,PDT,APR-SEP,NF JOHN DAY - AT MONUMENT,564,423
MORI1,BOI,APR-SEP,MORES CREEK - NR ARROWROCK DAM,113,84.75
MORW1,SEW,APR-SEP,CEDAR - CHESTER MORSE LAKE,135,101.25
MPLO3,PQR,APR-SEP,SIUSLAW - NEAR MAPLETON,279,209.25
MROW1,SEW,APR-SEP,SNOHOMISH - NEAR MONROE,2890,2167.5
MSRW1,SEW,APR-SEP,COWLITZ - MOSSYROCK RESERVOIR,1788,1341
MVEW1,SEW,APR-SEP,SKAGIT - NEAR MT VERNON,6245,4683.75
MYDW1,PQR,APR-SEP,COWLITZ - MAYFIELD RESERVOIR,1910,1432.5
MYNO3,MFR,APR-SEP,NF COQUILLE - NEAR MYRTLE POINT,131,98.25
MYPO3,MFR,APR-SEP,SF COQUILLE - AT MYRTLE POINT,364,273
NACW1,PDT,APR-SEP,NACHES - NEAR NACHES,807,605.25
NASW1,PQR,APR-SEP,NASELLE - NEAR NASELLE,58.2,43.65
NEWW1,SEW,APR-SEP,NEWAUKUM - NEAR CHEHALIS,84.69,63.5175
NFFQ2,MSO,APR-SEP,NF FLATHEAD - NEAR FLATHEAD BC,538,403.5
NFNW1,SEW,APR-SEP,NF NOOKSACK - NEAR GLACIER,361,270.75
NISW1,SEW,APR-SEP,NISQUALLY - NEAR NATIONAL,277,207.75
NITW1,OTX,APR-SEP,SIMILKAMEEN - NEAR NIGHTHAWK,1744,1308
NKSW1,SEW,APR-SEP,NOOKSACK - AT FERNDALE,1207,905.25
NOXM8,MSO,APR-SEP,CLARK FORK - NOXON RAPIDS DAM,11871,8903.25
NRKW1,SEW,APR-SEP,NOOKSACK - AT CEDARVILLE,1173,879.75
NSSW1,SEW,APR-SEP,SF NOOKSACK - AT SAXON BRIDGE,259,194.25
OCHO3,PDT,APR-SEP,OCHOCO CREEK - BLO OCHOCO DAM NR PRINVILLE,18.17,13.6275
OCUO3,PQR,APR-SEP,WILLAMETTE - AB FALLS AT OR CITY,6257,4692.75
OKMW1,OTX,APR-SEP,OKANOGAN - AT MALOTT,1802,1351.5
OKNW1,OTX,APR-SEP,OKANOGAN - AT OROVILLE,445,333.75
ORFI1,MSO,APR-SEP,CLEARWATER - AT OROFINO,4632,3474
ORTW1,SEW,APR-SEP,PUYALLUP - NEAR ORTING,257,192.75
OWYO3,BOI,APR-SEP,OWYHEE - OWYHEE DAM,343,257.25
PACW1,SEW,APR-SEP,COWLITZ - AT PACKWOOD,610,457.5
PACW4,RIW,APR-SEP,PACIFIC CREEK - AT MORAN,174,130.5
PALI1,PIH,APR-SEP,SNAKE - NEAR IRWIN,3604,2703
PARI1,BOI,APR-SEP,BOISE - NEAR PARMA,1373,1029.75
PARW1,PDT,APR-SEP,YAKIMA - NEAR PARKER,2102,1576.5
PATW1,OTX,APR-SEP,METHOW - NEAR PATEROS,965,723.75
PDTO3,PDT,APR-SEP,UMATILLA - AT PENDLETON,166,124.5
PERM8,MSO,APR-SEP,FLATHEAD - AT PERMA,7496,5622
PESW1,OTX,APR-SEP,WENATCHEE - AT PESHASTIN,1496,1122
PHIO3,PQR,APR-SEP,MARYS - NEAR PHILOMATH,53.16,39.87
PHLO3,BOI,APR-SEP,POWDER - MASON DAM,64.58,48.435
PIHI1,PIH,APR-SEP,PORTNEUF - AT POCATELLO,129,96.75
PILW1,SEW,APR-SEP,PILCHUCK - NEAR SNOHOMISH,101,75.75
PITW1,PDT,APR-SEP,KLICKITAT - NEAR PITT,551,413.25
PLNM8,MSO,APR-SEP,CLARK FORK - NEAR PLAINS,11391,8543.25
PLOI1,OTX,APR-SEP,PALOUSE - NEAR POTLATCH,67.18,50.385
POWO3,MFR,APR-SEP,SF COQUILLE - AT POWERS,103,77.25
PRCI1,OTX,APR-SEP,NF COEUR D ALENE - NEAR PRICHARD,298,223.5
PRCM8,MSO,APR-SEP,PROSPECT CREEK - AT THOMPSON FALLS,113,84.75
PRII1,OTX,APR-SEP,POTLATCH - BELOW LITTLE POTLATCH,81.02,60.765
PRLI1,BOI,APR-SEP,SF PAYETTE - AT LOWMAN,460,345
PRPI1,BOI,APR-SEP,PAYETTE - NEAR PAYETTE,1757,1317.75
PRTI1,OTX,APR-SEP,PRIEST - NEAR PRIEST RIVER,792,594
PRVO3,PDT,APR-SEP,CROOKED - NR PRINEVILLE,80.59,60.4425
PRWW1,OTX,APR-SEP,COLUMBIA - PRIEST RAPIDS DAM,68043,51032.25
PULW1,OTX,APR-SEP,SF PALOUSE - AT PULLMAN,9.7,7.275
PUYW1,SEW,APR-SEP,PUYALLUP - AT PUYALLUP,1091,818.25
PWDO3,BOI,APR-SEP,POWDER - AT BAKER,40.44,30.33
QBYQ2,CAN,APR-SEP,KOOTENAI - KOOTENAY L AT QUEENS BAY,15890,11917.5
RAWW1,SEW,APR-SEP,COWLITZ - AT RANDLE,952,714
RCCM8,MSO,APR-SEP,ROCK CREEK - NEAR CLINTON,305,228.75
RDLO3,MFR,APR-SEP,COW CREEK - NEAR RIDDLE,93.77,70.3275
REVQ2,CAN,APR-SEP,COLUMBIA - REVELSTOKE DAM,16978,12733.5
REXI1,PIH,APR-SEP,HENRYS FORK - AT REXBURG,2006,1504.5
RIGI1,MSO,APR-SEP,LITTLE SALMON - AT RIGGINS,408,306
RIMW1,PDT,APR-SEP,TIETON - AT TIETON DAM,226,169.5
RIRI1,PIH,APR-SEP,WILLOW CREEK - NEAR RIRIE,60.33,45.2475
RISW1,OTX,APR-SEP,COLUMBIA - BLO ROCK ISLAND DAM,68036,51027
RNTW1,SEW,APR-SEP,CEDAR - AT RENTON,219,164.25
RODW1,SEW,APR-SEP,SKAGIT - ROSS RESERVOIR,1528,1146
